id	uri
3481546	<http://wikidata.dbpedia.org/ontology/MilitaryPerson>
3481668	<http://wikidata.dbpedia.org/ontology/MilitaryStructure>
3481664	<http://wikidata.dbpedia.org/ontology/MilitaryUnit>
3482001	<http://wikidata.dbpedia.org/ontology/Mineral>
3482047	<http://wikidata.dbpedia.org/ontology/MixedMartialArtsEvent>
3482183	<http://wikidata.dbpedia.org/ontology/MixedMartialArtsLeague>
3481825	<http://wikidata.dbpedia.org/ontology/Model>
3481594	<http://wikidata.dbpedia.org/ontology/Mollusca>
3481846	<http://wikidata.dbpedia.org/ontology/Monarch>
3482100	<http://wikidata.dbpedia.org/ontology/Monument>
3482020	<http://wikidata.dbpedia.org/ontology/Moss>
3482032	<http://wikidata.dbpedia.org/ontology/Motorcycle>
3482138	<http://wikidata.dbpedia.org/ontology/MotorcycleRacingLeague>
3481495	<http://wikidata.dbpedia.org/ontology/MotorcycleRider>
3481493	<http://wikidata.dbpedia.org/ontology/MotorsportRacer>
3481578	<http://wikidata.dbpedia.org/ontology/MotorsportSeason>
3481572	<http://wikidata.dbpedia.org/ontology/Mountain>
3481931	<http://wikidata.dbpedia.org/ontology/MountainPass>
3481789	<http://wikidata.dbpedia.org/ontology/MountainRange>
3482139	<http://wikidata.dbpedia.org/ontology/Murderer>
3481967	<http://wikidata.dbpedia.org/ontology/Muscle>
3481499	<http://wikidata.dbpedia.org/ontology/Museum>
3481942	<http://wikidata.dbpedia.org/ontology/Musical>
3481573	<http://wikidata.dbpedia.org/ontology/MusicalArtist>
3481528	<http://wikidata.dbpedia.org/ontology/MusicalWork>
3482006	<http://wikidata.dbpedia.org/ontology/MusicFestival>
3481717	<http://wikidata.dbpedia.org/ontology/MusicGenre>
3481883	<http://wikidata.dbpedia.org/ontology/MythologicalFigure>
3481516	<http://wikidata.dbpedia.org/ontology/Name>
3481984	<http://wikidata.dbpedia.org/ontology/NascarDriver>
3482112	<http://wikidata.dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete>
3482136	<http://wikidata.dbpedia.org/ontology/NationalFootballLeagueEvent>
3481671	<http://wikidata.dbpedia.org/ontology/NationalFootballLeagueSeason>
3482033	<http://wikidata.dbpedia.org/ontology/NaturalEvent>
3481556	<http://wikidata.dbpedia.org/ontology/NaturalPlace>
3481718	<http://wikidata.dbpedia.org/ontology/NCAATeamSeason>
3481899	<http://wikidata.dbpedia.org/ontology/Nerve>
3481998	<http://wikidata.dbpedia.org/ontology/NetballPlayer>
3481645	<http://wikidata.dbpedia.org/ontology/Newspaper>
3481690	<http://wikidata.dbpedia.org/ontology/Noble>
